mouse_id,type,side,area_um2
1179202,cell,GLOBAL,160.240388
1179202,cell,GLOBAL,139.6127579
1179202,cell,GLOBAL,176.441488
1179202,cell,GLOBAL,163.781612
1179202,cell,GLOBAL,109.3648026
1179202,cell,GLOBAL,159.3255718
1179202,cell,GLOBAL,119.3687605
1179202,cell,GLOBAL,103.8168849
1179202,cell,GLOBAL,127.838188
1179202,cell,GLOBAL,95.34745739
1179202,cell,GLOBAL,140.2029619
1179202,cell,GLOBAL,76.13631695
1179202,cell,GLOBAL,153.8661847
1179202,cell,GLOBAL,71.03105228
1179202,cell,GLOBAL,123.1165559
1179202,cell,GLOBAL,177.474345
1179202,cell,GLOBAL,91.21602934
1179202,cell,GLOBAL,94.87529418
1179202,cell,GLOBAL,140.9997374
1179202,cell,GLOBAL,131.2908814
1179202,cell,GLOBAL,142.7703494
1179202,cell,GLOBAL,90.18317232
1179202,cell,GLOBAL,127.5135758
1179202,cell,GLOBAL,117.7161893
1179202,cell,GLOBAL,124.4445149
1179202,cell,GLOBAL,80.88745921
1179202,cell,GLOBAL,135.8944727
1179202,cell,GLOBAL,108.8631292
1179202,cell,GLOBAL,185.3830787
1179202,cell,GLOBAL,83.86798944
1179202,cell,GLOBAL,106.7383947
1179202,cell,GLOBAL,170.6869989
1179202,cell,GLOBAL,105.2628847
1179202,cell,GLOBAL,161.4503062
1179202,cell,GLOBAL,193.7934858
1179202,cell,GLOBAL,166.2899791
1179202,cell,GLOBAL,166.9096933
1179202,cell,GLOBAL,178.0940592
1179202,cell,GLOBAL,93.75390657
1179202,cell,GLOBAL,96.5573756
1179202,cell,GLOBAL,99.59692624
1179202,cell,GLOBAL,129.5792898
1179202,cell,GLOBAL,46.36052478
1179202,cell,GLOBAL,150.9151647
1179202,cell,GLOBAL,117.3915771
1179202,cell,GLOBAL,163.6045508
1179202,cell,GLOBAL,169.6246317
1179202,cell,GLOBAL,179.097406
1179202,cell,GLOBAL,51.64285064
1179202,cell,GLOBAL,132.0581466
1179202,cell,GLOBAL,112.2568022
1179202,cell,GLOBAL,182.0484261
1179202,cell,GLOBAL,120.9918215
1179202,cell,GLOBAL,77.78888817
1179202,cell,GLOBAL,219.5854009
1179202,cell,GLOBAL,122.4378213
1179202,cell,GLOBAL,140.3210027
1179202,cell,GLOBAL,175.1430392
1179202,cell,GLOBAL,47.77701439
1179202,cell,GLOBAL,135.1862279
1179202,cell,GLOBAL,124.3854945
1179202,cell,GLOBAL,131.7040242
1179202,cell,GLOBAL,111.341986
1179202,cell,GLOBAL,178.3301408
1179202,cell,GLOBAL,240.1540106
1179202,cell,GLOBAL,259.070049
1179202,cell,GLOBAL,50.10832022
1179202,cell,GLOBAL,168.6803053
1179202,cell,GLOBAL,150.4134913
1179202,cell,GLOBAL,132.0581466
1179202,cell,GLOBAL,158.912429
1179202,cell,GLOBAL,130.789208
1179202,cell,GLOBAL,127.6316166
1179202,cell,GLOBAL,122.4083111
1179202,cell,GLOBAL,171.8969171
1179202,cell,GLOBAL,145.8394102
1179202,cell,GLOBAL,53.29542186
1179202,cell,GLOBAL,100.6297833
1179202,cell,GLOBAL,108.2434149
1179202,cell,GLOBAL,75.16248034
1179202,cell,GLOBAL,54.23974828
1179202,cell,GLOBAL,56.5120337
1179202,cell,GLOBAL,66.36844063
1179202,cell,GLOBAL,186.6225071
1179202,cell,GLOBAL,87.29117269
1179202,cell,GLOBAL,22.87040528
1179202,cell,GLOBAL,126.7758208
1179202,cell,GLOBAL,96.4098246
1179202,cell,GLOBAL,42.46517833
1179202,cell,GLOBAL,63.41742059
1179202,cell,GLOBAL,136.9273297
1179202,cell,GLOBAL,92.30790675
1179202,cell,GLOBAL,108.0368435
1179202,cell,GLOBAL,99.44937524
1179202,cell,GLOBAL,86.34684627
1179202,cell,GLOBAL,100.1871302
1179202,cell,GLOBAL,154.1022663
1179202,cell,GLOBAL,151.3283075
1179202,cell,GLOBAL,83.36631604
